"Ticket Number","Account Name","Category","Severity"
"5377-12606176","New Era Cap Co., Inc.","S - PER - New Map","Sev 4"
"5377-12648165","Ball Corporation (D)","S - Map Change","Sev 3"
"5377-12648165","Ball Corporation (D)","S - Map Change","Sev 3"
"5377-12648165","Ball Corporation (D)","S - Map Change","Sev 3"
"5377-12648165","Ball Corporation (D)","S - Map Change","Sev 3"
"5377-12648165","Ball Corporation (D)","S - Map Change","Sev 3"
"5377-12648165","Ball Corporation (D)","S - Map Change","Sev 3"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12960327","CEVA Logistics US, Inc.","S - Map Research","Sev 3"
"5377-12960327","CEVA Logistics US, Inc.","S - Map Research","Sev 3"
"5377-12960327","CEVA Logistics US, Inc.","S - Map Research","Sev 3"
"5377-12960327","CEVA Logistics US, Inc.","S - Map Research","Sev 3"
"5377-12960327","CEVA Logistics US, Inc.","S - Map Research","Sev 3"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 2"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 2"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 2"
"5377-13400115","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-13400115","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-13400115","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-13400115","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-13441619","DEVANLAY LACOSTE","S - PER - New Map","Sev 4"
"5377-13441619","DEVANLAY LACOSTE","S - PER - New Map","Sev 4"
"5377-13441619","DEVANLAY LACOSTE","S - PER - New Map","Sev 4"
"5377-13441619","DEVANLAY LACOSTE","S - PER - New Map","Sev 4"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13493819","Kraft Foods, Inc.+4970542","S - PER - Map Change","Sev 3"
"5377-13528368","Itron GmbH","S - PER - New Map","Sev 4"
"5377-13528368","Itron GmbH","S - PER - New Map","Sev 4"
"5377-13528368","Itron GmbH","S - PER - New Map","Sev 4"
"5377-13528368","Itron GmbH","S - PER - New Map","Sev 4"
"5377-13528368","Itron GmbH","S - PER - New Map","Sev 4"
"5377-13528368","Itron GmbH","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13617986","Hub Group, Inc.","S - PER - New Map","Sev 4"
"5377-13622172","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-13622172","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-13622172","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-13622172","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
