"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-11608456","Makita USA Inc","S - PER - parent request","Sev 4"
"5377-11778938","Charmer Sunbelt Group, LLC.","S - PER - New Map","Sev 4"
"5377-11933232","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-12131499","Veritas","S - PER - parent request","Sev 4"
"5377-12133083","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12133083","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12133083","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 2"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 2"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 2"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12273750","Polycom, Inc.","S - PER - parent request","Sev 3"
"5377-12330255","Polycom, Inc.","S - PER - Other","Sev 3"
"5377-12399554","Toyota Material Handling Europe AB","S - PER - parent request","Sev 2"
"5377-12413383","Makita USA Inc","S - PER - parent request","Sev 4"
"5377-12434796","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12456018","KATZ GROUP INC","S - PER - parent request","Sev 4"
"5377-12477542","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12499505","Veritas","S - PER - Communication","Sev 4"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12602301","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602309","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602314","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12628292","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12628292","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12628292","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12628292","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12628292","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12628292","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12696174","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12696174","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12701516","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12701516","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12701516","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12701516","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12701516","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12701516","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12709717","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 4"
"5377-12709717","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 4"
"5377-12709717","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 4"
"5377-12754621","Silver Spoon, a division of British Sugar Plc","S - PER - parent request","Sev 3"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12755052","Hilti Inc","S - PER - parent request","Sev 4"
"5377-12765376","Hilti Inc","S - PER - New Map","Sev 4"
"5377-12765378","Hilti Inc","S - PER - New Map","Sev 2"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
