"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-10870082","Husqvarna (S)","S - PER - Map Change","Sev 4"
"5377-10870082","Husqvarna (S)","S - PER - Map Change","Sev 4"
"5377-10870082","Husqvarna (S)","S - PER - Map Change","Sev 4"
"5377-10870082","Husqvarna (S)","S - PER - Map Change","Sev 4"
"5377-10962435","Westwood Shipping Lines","S - PER - New Map","Sev 4"
"5377-10962967","Westwood Shipping Lines","S - PER - New Map","Sev 4"
"5377-10963248","Westwood Shipping Lines","S - PER - New Map","Sev 2"
"5377-11003153","Westwood Shipping Lines","S - PER - parent request","Sev 4"
"5377-11171966","Westwood Shipping Lines","S - PER - New Map","Sev 3"
"5377-11254743","Westwood Shipping Lines","S - PER - New Map","Sev 3"
"5377-11322141","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-11657205","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11657205","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11657205","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11738534","BBU, INC","S - PER - New Map","Sev 4"
"5377-11738534","BBU, INC","S - PER - New Map","Sev 4"
"5377-11738534","BBU, INC","S - PER - New Map","Sev 4"
"5377-11893575","CEVA Logistics US, Inc.","S - PER - New TP","Sev 4"
"5377-11893575","CEVA Logistics US, Inc.","S - PER - New TP","Sev 4"
"5377-11932973","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-11932973","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-11933232","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - New TP","Sev 3"
"5377-12002687","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12002687","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12002728","CEVA Logistics US, Inc.","S - PER - Communication","Sev 4"
"5377-12002728","CEVA Logistics US, Inc.","S - PER - Communication","Sev 4"
"5377-12046766","The Jordans & Ryvita Company Limited","S - PER - Map Change","Sev 3"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 3"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 3"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 3"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 3"
"5377-12140898","Ardex, Inc.","S - PER - New Map","Sev 3"
"5377-12261518","The Ohio State University","S - PER - New Map","Sev 4"
"5377-12261518","The Ohio State University","S - PER - New Map","Sev 4"
"5377-12261518","The Ohio State University","S - PER - New Map","Sev 4"
"5377-12418523","ArvinMeritor Inc (MI)","S - PER - New TP","Sev 4"
"5377-12418523","ArvinMeritor Inc (MI)","S - PER - New TP","Sev 4"
"5377-12424103","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 2"
"5377-12424103","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 2"
"5377-12424152","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 2"
"5377-12424152","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 2"
"5377-12434796","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12434796","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12460950","Toyota Motor Engineering & Manufacturing North America, Inc.","S - PER - parent request","Sev 4"
"5377-12460950","Toyota Motor Engineering & Manufacturing North America, Inc.","S - PER - parent request","Sev 4"
"5377-12460950","Toyota Motor Engineering & Manufacturing North America, Inc.","S - PER - parent request","Sev 4"
"5377-12460950","Toyota Motor Engineering & Manufacturing North America, Inc.","S - PER - parent request","Sev 4"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12596621","RS Components UK","S - PER - parent request","Sev 3"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12620264","Ingersoll-Rand Company, through its Security Technologies Sector","S - PER - New TP","Sev 4"
"5377-12620264","Ingersoll-Rand Company, through its Security Technologies Sector","S - PER - New TP","Sev 4"
"5377-12623749","Cangene Corporation","S - PER - Communication","Sev 4"
"5377-12623749","Cangene Corporation","S - PER - Communication","Sev 4"
"5377-12623749","Cangene Corporation","S - PER - Communication","Sev 4"
"5377-12623749","Cangene Corporation","S - PER - Communication","Sev 4"
"5377-12625667","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12625667","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12626960","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12628248","Millipore EMD","S - PER - New Map","Sev 4"
"5377-12729262","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12729262","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12746762","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12746762","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
