"Ticket Number","Account Name","Category","Severity"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12336973","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12407376","Makita USA Inc","S - PER - parent request","Sev 4"
"5377-12541293","Schlueter-Systems KG","S - PER - New Map","Sev 4"
"5377-12604985","Toyota Material Handling Europe AB","S - PER - New Map","Sev 2"
"5377-12604985","Toyota Material Handling Europe AB","S - PER - New Map","Sev 2"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12630030","Westwood Shipping Lines","S - PER - parent request","Sev 3"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746250","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 2"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 2"
"5377-12783662","Schneider Enterprise Resources, LLC","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12791072","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12840561","Shure, Inc.","S - PER - New TP","Sev 3"
"5377-12840561","Shure, Inc.","S - PER - New TP","Sev 3"
"5377-12864168","Sigma-Aldrich Corporation","S - PER - New Map","Sev 2"
"5377-12864168","Sigma-Aldrich Corporation","S - PER - New Map","Sev 2"
"5377-12864168","Sigma-Aldrich Corporation","S - PER - New Map","Sev 2"
"5377-12864168","Sigma-Aldrich Corporation","S - PER - New Map","Sev 2"
"5377-12864168","Sigma-Aldrich Corporation","S - PER - New Map","Sev 2"
"5377-12864168","Sigma-Aldrich Corporation","S - PER - New Map","Sev 2"
"5377-12930467","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12930467","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12945159","Corning Inc.","S - PER - New Map","Sev 2"
"5377-12945159","Corning Inc.","S - PER - New Map","Sev 2"
"5377-12945159","Corning Inc.","S - PER - New Map","Sev 2"
"5377-12987734","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12987749","Celgene Corporation","S - PER - New Map","Sev 4"
