"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-11549758","Toyota Material Handling Europe AB","S - PER - New TP","Sev 4"
"5377-11567387","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12200992","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12404701","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492843","Schlueter-Systems KG","S - PER - New Map","Sev 4"
"5377-12562131","HIS CO., INC.","S - PER - New TP","Sev 3"
"5377-12562131","HIS CO., INC.","S - PER - New TP","Sev 3"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12626804","Commercial Vehicle Group, Inc.","S - PER - New Map","Sev 4"
"5377-12626804","Commercial Vehicle Group, Inc.","S - PER - New Map","Sev 4"
"5377-12671566","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 4"
"5377-12671566","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 4"
"5377-12754621","Silver Spoon, a division of British Sugar Plc","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12827624","Master Lock Company","S - PER - New Map","Sev 4"
"5377-12836691","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-12836691","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-12836691","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-12882021","Lindt & Sprüngli (NA) Inc","S - Map Change","Sev 2"
"5377-12882021","Lindt & Sprüngli (NA) Inc","S - Map Change","Sev 2"
"5377-12882021","Lindt & Sprüngli (NA) Inc","S - Map Change","Sev 2"
"5377-12882021","Lindt & Sprüngli (NA) Inc","S - Map Change","Sev 2"
"5377-12882021","Lindt & Sprüngli (NA) Inc","S - Map Change","Sev 2"
"5377-12882021","Lindt & Sprüngli (NA) Inc","S - Map Change","Sev 2"
"5377-12914700","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12936404","Kennametal Inc","S - PER - New Map","Sev 4"
"5377-12951257","Kraft Foods, Inc.+4970542","S - PER - New TP","Sev 4"
