"Ticket Number","Account Name","Category","Severity"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12624285","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12945159","Corning Inc.","S - PER - New Map","Sev 2"
"5377-12957658","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-12963965","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12963965","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12963965","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12963965","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12966769","CEVA Logistics US, Inc.","S - PER - New Map","Sev 3"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-13028261","Charmer Sunbelt Group, LLC.","S - PER - Map Change","Sev 3"
"5377-13028261","Charmer Sunbelt Group, LLC.","S - PER - Map Change","Sev 3"
"5377-13032193","Charmer Sunbelt Group, LLC.","S - PER - New TP","Sev 3"
"5377-13032193","Charmer Sunbelt Group, LLC.","S - PER - New TP","Sev 3"
"5377-13032193","Charmer Sunbelt Group, LLC.","S - PER - New TP","Sev 3"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13075951","Charmer Sunbelt Group, LLC.","S - PER - New TP","Sev 4"
"5377-13075951","Charmer Sunbelt Group, LLC.","S - PER - New TP","Sev 4"
"5377-13079502","Krono Services GmbH","S - PER - New Map","Sev 4"
"5377-13097147","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-13097147","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-13097147","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-13097147","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13175838","Toyota Material Handling Europe AB","S - Map Research","Sev 4"
"5377-13194400","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194400","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194400","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13226970","Sigma-Aldrich Corporation","S - Map Change","Sev 3"
"5377-13226970","Sigma-Aldrich Corporation","S - Map Change","Sev 3"
"5377-13226970","Sigma-Aldrich Corporation","S - Map Change","Sev 3"
"5377-13226970","Sigma-Aldrich Corporation","S - Map Change","Sev 3"
"5377-13226970","Sigma-Aldrich Corporation","S - Map Change","Sev 3"
"5377-13226970","Sigma-Aldrich Corporation","S - Map Change","Sev 3"
"5377-13228694","Sigma-Aldrich Corporation","S - PER - Map Change","Sev 3"
"5377-13228694","Sigma-Aldrich Corporation","S - PER - Map Change","Sev 3"
"5377-13228694","Sigma-Aldrich Corporation","S - PER - Map Change","Sev 3"
"5377-13228694","Sigma-Aldrich Corporation","S - PER - Map Change","Sev 3"
"5377-13241197","CEVA Logistics US, Inc.","S - Map Change","Sev 2"
"5377-13241197","CEVA Logistics US, Inc.","S - Map Change","Sev 2"
"5377-13241197","CEVA Logistics US, Inc.","S - Map Change","Sev 2"
