"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-10870082","Husqvarna (S)","S - PER - Map Change","Sev 4"
"5377-10870082","Husqvarna (S)","S - PER - Map Change","Sev 4"
"5377-11235780","Eddie Stobart Ltd","S - PER - New Map","Sev 4"
"5377-11235780","Eddie Stobart Ltd","S - PER - New Map","Sev 4"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131657","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12133083","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595563","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12709717","Lindt & Sprungli (International) AG","S - PER - parent request","Sev 4"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 3"
"5377-12730479","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12799996","National Smokeless Tobacco Company Limted","S - PER - parent request","Sev 3"
"5377-12799996","National Smokeless Tobacco Company Limted","S - PER - parent request","Sev 3"
"5377-12799996","National Smokeless Tobacco Company Limted","S - PER - parent request","Sev 3"
"5377-12817993","Gardner Denver, Inc","S - PER - New Map","Sev 4"
"5377-12817993","Gardner Denver, Inc","S - PER - New Map","Sev 4"
"5377-12823116","Capcom U.S.A., Inc.","S - PER - Communication","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12824036","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12905126","Makita USA Inc","S - PER - parent request","Sev 4"
"5377-12927049","Makita USA Inc","S - PER - New Map","Sev 3"
"5377-12937002","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12937002","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12940844","CEVA Logistics US, Inc.","S - PER - parent request","Sev 2"
"5377-12940844","CEVA Logistics US, Inc.","S - PER - parent request","Sev 2"
"5377-12940844","CEVA Logistics US, Inc.","S - PER - parent request","Sev 2"
"5377-12963965","Hilti Inc","S - PER - New Map","Sev 2"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
"5377-12964010","Hilti Inc","S - PER - New Map","Sev 3"
