"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-10885614","Avaya Inc.","S - PER - Map Change","Sev 4"
"5377-11549758","Toyota Material Handling Europe AB","S - PER - New TP","Sev 4"
"5377-11567387","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-11932973","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933232","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11980735","Toshiba Global Commerce Solutions Inc.","S - PER - Communication","Sev 4"
"5377-11980735","Toshiba Global Commerce Solutions Inc.","S - PER - Communication","Sev 4"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12133083","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12200992","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12330255","Polycom, Inc.","S - PER - Other","Sev 3"
"5377-12330255","Polycom, Inc.","S - PER - Other","Sev 3"
"5377-12330255","Polycom, Inc.","S - PER - Other","Sev 3"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12404701","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12482122","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12482122","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12482122","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492843","Schlueter-Systems KG","S - PER - New Map","Sev 4"
"5377-12562131","HIS CO., INC.","S - PER - New TP","Sev 3"
"5377-12562131","HIS CO., INC.","S - PER - New TP","Sev 3"
"5377-12562131","HIS CO., INC.","S - PER - New TP","Sev 3"
"5377-12562131","HIS CO., INC.","S - PER - New TP","Sev 3"
"5377-12585615","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12585615","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12620264","Ingersoll-Rand Company, through its Security Technologies Sector","S - PER - New TP","Sev 4"
"5377-12620264","Ingersoll-Rand Company, through its Security Technologies Sector","S - PER - New TP","Sev 4"
"5377-12625601","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-12626804","Commercial Vehicle Group, Inc.","S - PER - New Map","Sev 4"
"5377-12626804","Commercial Vehicle Group, Inc.","S - PER - New Map","Sev 4"
"5377-12671566","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 4"
"5377-12671566","ArvinMeritor Inc (MI)","S - PER - New Map","Sev 4"
"5377-12709717","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 4"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12718500","ACProducts, Inc.","S - PER - New Map","Sev 4"
"5377-12721798","ACProducts, Inc.","S - PER - New Map","Sev 4"
"5377-12732090","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 3"
"5377-12732090","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 3"
"5377-12732090","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 3"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746105","Kennametal Inc","S - PER - parent request","Sev 4"
"5377-12746762","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12746762","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12748259","Avaya Inc.","S - PER - New TP","Sev 4"
"5377-12754621","Silver Spoon, a division of British Sugar Plc","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768447","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12782833","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12782833","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
"5377-12802232","Lindt & Sprüngli (NA) Inc","S - PER - New TP","Sev 4"
