"Ticket Number","Account Name","Category","Severity"
"5377-11055628","Saint-Gobain Corporation","S - Map Change","Sev 3"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 2"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12823523","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823523","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823523","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823523","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823611","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823611","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823611","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12823611","CEVA Logistics US, Inc.","S - PER - New Map","Sev 4"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12933029","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12975169","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13042685","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-13069510","Itron GmbH","S - Application","Sev 2"
"5377-13075951","Charmer Sunbelt Group, LLC.","S - PER - New TP","Sev 4"
"5377-13098036","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13098036","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13098036","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13098036","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13122850","Millipore EMD","S - PER - New Map","Sev 4"
"5377-13129679","Micron Technology Inc","S - PER - Map Change","Sev 3"
"5377-13129679","Micron Technology Inc","S - PER - Map Change","Sev 3"
"5377-13129679","Micron Technology Inc","S - PER - Map Change","Sev 3"
"5377-13129679","Micron Technology Inc","S - PER - Map Change","Sev 3"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13168777","TimkenSteel Corp","S - PER - Map Change","Sev 2"
"5377-13194400","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
