"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-11322141","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-11636554","Eisai, Incorporated","S - PER - New Map","Sev 4"
"5377-11636554","Eisai, Incorporated","S - PER - New Map","Sev 4"
"5377-11636554","Eisai, Incorporated","S - PER - New Map","Sev 4"
"5377-11636554","Eisai, Incorporated","S - PER - New Map","Sev 4"
"5377-11667084","Lindt & Sprungli (International) AG","S - PER - parent request","Sev 3"
"5377-11806237","Andersen Corporation","S - PER - parent request","Sev 4"
"5377-11824517","Andersen Corporation","S - PER - parent request","Sev 4"
"5377-11824517","Andersen Corporation","S - PER - parent request","Sev 4"
"5377-11824517","Andersen Corporation","S - PER - parent request","Sev 4"
"5377-11824517","Andersen Corporation","S - PER - parent request","Sev 4"
"5377-11824517","Andersen Corporation","S - PER - parent request","Sev 4"
"5377-11932973","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-11933232","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-12116239","DESC Corporativo S.A DE C.V.","S - PER - New TP","Sev 4"
"5377-12116239","DESC Corporativo S.A DE C.V.","S - PER - New TP","Sev 4"
"5377-12116239","DESC Corporativo S.A DE C.V.","S - PER - New TP","Sev 4"
"5377-12116239","DESC Corporativo S.A DE C.V.","S - PER - New TP","Sev 4"
"5377-12131622","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131622","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12320032","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12417611","SGCIO - Saint-Gobain Consulting Information & Organization","S - Configuration changes","Sev 3"
"5377-12417611","SGCIO - Saint-Gobain Consulting Information & Organization","S - Configuration changes","Sev 3"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12498451","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12543160","Hilti Inc","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602463","New Era Cap Co., Inc.","S - PER - New TP","Sev 4"
"5377-12602463","New Era Cap Co., Inc.","S - PER - New TP","Sev 4"
"5377-12602463","New Era Cap Co., Inc.","S - PER - New TP","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12604985","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12604985","Toyota Material Handling Europe AB","S - PER - New Map","Sev 4"
"5377-12606168","New Era Cap Co., Inc.","S - PER - New Map","Sev 4"
