"Ticket Number","Account Name","Category","Severity"
"5377-11360761","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11360761","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11360761","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11360761","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11445913","AXIALL CORPORATION","S - PER - parent request","Sev 4"
"5377-11547877","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11547877","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11567387","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-11567417","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-11622390","BBU, INC","S - PER - New Map","Sev 3"
"5377-11657205","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11657205","RJ Reynolds Tobacco Company","S - PER - Map Change","Sev 3"
"5377-11670899","Ingersoll-Rand Company, through its Security Technologies Sector","S - PER - New TP","Sev 4"
"5377-11670899","Ingersoll-Rand Company, through its Security Technologies Sector","S - PER - New TP","Sev 4"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11738534","BBU, INC","S - PER - New Map","Sev 4"
"5377-11932973","Micron Technology Inc","S - PER - New Map","Sev 2"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-12046766","The Jordans & Ryvita Company Limited","S - PER - Map Change","Sev 3"
"5377-12046766","The Jordans & Ryvita Company Limited","S - PER - Map Change","Sev 3"
"5377-12075173","Ardex, Inc.","S - PER - parent request","Sev 3"
"5377-12075173","Ardex, Inc.","S - PER - parent request","Sev 3"
"5377-12075173","Ardex, Inc.","S - PER - parent request","Sev 3"
"5377-12075173","Ardex, Inc.","S - PER - parent request","Sev 3"
"5377-12075173","Ardex, Inc.","S - PER - parent request","Sev 3"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135551","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135566","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135576","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12159132","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12161676","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12200992","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12238118","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12238118","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12238118","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12238118","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12239599","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12239599","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12239606","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 3"
"5377-12239606","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 3"
"5377-12274180","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274189","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274203","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274203","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274203","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274203","AXIALL CORPORATION","S - PER - New Map","Sev 4"
