"Ticket Number","Account Name","Category","Severity"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-12046766","The Jordans & Ryvita Company Limited","S - PER - Map Change","Sev 3"
"5377-12158411","Sophos PLC ","S - PER - parent request","Sev 3"
"5377-12333768","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12333768","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - parent request","Sev 3"
"5377-12469304","Schlueter-Systems KG","S - PER - parent request","Sev 4"
"5377-12492843","Schlueter-Systems KG","S - PER - New Map","Sev 4"
"5377-12606176","New Era Cap Co., Inc.","S - PER - New Map","Sev 4"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12610611","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12709717","Lindt & Sprungli (International) AG","S - PER - parent request","Sev 4"
"5377-12709726","Lindt & Sprungli (International) AG","S - PER - New Map","Sev 3"
"5377-12718946","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12718946","Next Day Gourmet L P (aka US Foods CE & S)","S - PER - New TP","Sev 4"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12738975","Eddie Stobart Ltd","S - PER - parent request","Sev 3"
"5377-12754621","Silver Spoon, a division of British Sugar Plc","S - PER - parent request","Sev 3"
"5377-12768627","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12768644","Silver Spoon, a division of British Sugar Plc","S - PER - New Map","Sev 4"
"5377-12782833","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12782833","CEVA Logistics US, Inc.","S - PER - parent request","Sev 4"
"5377-12790147","Tesla Motors","S - PER - parent request","Sev 4"
