"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11445913","AXIALL CORPORATION","S - PER - parent request","Sev 4"
"5377-11547663","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11547663","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11547663","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11567387","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-11567417","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948123","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-12080295","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12116239","DESC Corporativo S.A DE C.V.","S - PER - New TP","Sev 4"
"5377-12159132","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12161676","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12200992","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12237932","AXIALL CORPORATION","S - PER - New TP","Sev 4"
"5377-12238118","ALLIED ELECTRONICS, INC","S - PER - New TP","Sev 4"
"5377-12239599","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 4"
"5377-12239606","ALLIED ELECTRONICS, INC","S - PER - New Map","Sev 3"
"5377-12250877","Eisai, Incorporated","S - PER - New Map","Sev 4"
"5377-12274180","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274189","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12274203","AXIALL CORPORATION","S - PER - New Map","Sev 4"
"5377-12368402","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - Other","Sev 3"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12376907","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12383516","Watts Regulator Co","S - PER - New Map","Sev 4"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12492377","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-12520964","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
