"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-11671092","RJ Reynolds Tobacco Company","S - Proactive Notification","Sev 3"
"5377-11883101","Toyota Material Handling Europe AB","S - PER - parent request","Sev 3"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
"5377-11933217","Micron Technology Inc","S - PER - New Map","Sev 4"
