"Ticket Number","Account Name","Category","Severity"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12420979","CEVA Logistics US, Inc.","S - Proactive Notification","Sev 3"
"5377-12743772","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-13097116","Watts Regulator Co","S - PER - New Map","Sev 2"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13183305","Krono Services GmbH","S - PER - parent request","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13194407","Whirlpool Corporation","S - PER - New Map","Sev 4"
"5377-13230665","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230665","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230665","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230665","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230678","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230678","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230678","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13230678","Church & Dwight Co., Inc.","S - PER - New Map","Sev 4"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13235782","Sigma-Aldrich Corporation","S - Map Change","Sev 2"
"5377-13264450","New Era Cap Co., Inc.","S - PER - New Map","Sev 3"
"5377-13264450","New Era Cap Co., Inc.","S - PER - New Map","Sev 3"
"5377-13264450","New Era Cap Co., Inc.","S - PER - New Map","Sev 3"
"5377-13264450","New Era Cap Co., Inc.","S - PER - New Map","Sev 3"
"5377-13352119","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13352119","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13352119","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13352119","Krono Services GmbH","S - PER - New Map","Sev 3"
"5377-13361438","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-13361438","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-13361438","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-13361438","Toyota Material Handling Europe AB","S - PER - New Map","Sev 3"
"5377-13430884","Itron GmbH","S - PER - Map Change","Sev 4"
"5377-13430884","Itron GmbH","S - PER - Map Change","Sev 4"
"5377-13430884","Itron GmbH","S - PER - Map Change","Sev 4"
"5377-13430884","Itron GmbH","S - PER - Map Change","Sev 4"
"5377-13454404","Itron GmbH","S - PER - New Map","Sev 3"
"5377-13454404","Itron GmbH","S - PER - New Map","Sev 3"
"5377-13454404","Itron GmbH","S - PER - New Map","Sev 3"
"5377-13477300","Sophos PLC ","S - PER - New Map","Sev 4"
"5377-13477300","Sophos PLC ","S - PER - New Map","Sev 4"
"5377-13477300","Sophos PLC ","S - PER - New Map","Sev 4"
"5377-13477300","Sophos PLC ","S - PER - New Map","Sev 4"
"5377-13477300","Sophos PLC ","S - PER - New Map","Sev 4"
"5377-13478501","Aventec, S.A. de C.V.","S - PER - New Map","Sev 2"
"5377-13478501","Aventec, S.A. de C.V.","S - PER - New Map","Sev 2"
"5377-13478501","Aventec, S.A. de C.V.","S - PER - New Map","Sev 2"
"5377-13478501","Aventec, S.A. de C.V.","S - PER - New Map","Sev 2"
"5377-13489470","Schneider Enterprise Resources, LLC","S - PER - New Map","Sev 3"
"5377-13489470","Schneider Enterprise Resources, LLC","S - PER - New Map","Sev 3"
"5377-13489470","Schneider Enterprise Resources, LLC","S - PER - New Map","Sev 3"
